,External Cost [$/kWh]
0,63.0
1,73.0
2,69.0
3,66.0
4,63.0
5,63.0
6,64.0
7,64.0
8,69.0
9,73.0
10,78.0
11,79.0
12,76.0
13,75.0
14,74.0
15,79.0
16,89.0
17,86.0
18,82.0
19,72.0
20,63.0
21,61.0
22,49.0
23,43.0
24,37.0
25,33.0
26,23.0
27,24.0
28,24.0
29,37.0
30,54.0
31,64.0
32,70.0
33,69.0
34,73.0
35,75.0
36,74.0
37,72.0
38,72.0
39,81.0
40,93.0
41,90.0
42,80.0
43,69.0
44,58.0
45,56.0
46,49.0
47,34.0
48,28.0
49,26.0
50,27.0
51,30.0
52,32.0
53,36.0
54,43.0
55,44.0
56,47.0
57,50.0
58,52.0
59,52.0
60,52.0
61,55.0
62,57.0
63,60.0
64,68.0
65,69.0
66,65.0
67,59.0
68,55.0
69,49.0
70,42.0
71,42.0
72,39.0
73,37.0
74,33.0
75,30.0
76,29.0
77,27.0
78,31.0
79,35.0
80,39.0
81,42.0
82,46.0
83,45.0
84,41.0
85,41.0
86,42.0
87,43.0
88,51.0
89,57.0
90,57.0
91,50.0
92,48.0
93,50.0
94,42.0
95,47.0
96,46.0
97,45.0
98,44.0
99,45.0
100,49.0
101,60.0
102,66.0
103,70.0
104,73.0
105,73.0
106,75.0
107,76.0
108,76.0
109,76.0
110,77.0
111,76.0
112,86.0
113,88.0
114,80.0
115,72.0
116,67.0
117,64.0
118,60.0
119,59.0
120,57.0
121,56.0
122,55.0
123,56.0
124,57.0
125,63.0
126,70.0
127,74.0
128,73.0
129,71.0
130,70.0
131,68.0
132,67.0
133,67.0
134,69.0
135,72.0
136,80.0
137,80.0
138,74.0
139,66.0
140,63.0
141,61.0
142,57.0
143,56.0
144,55.0
145,54.0
146,54.0
147,55.0
148,55.0
149,60.0
150,70.0
151,77.0
152,78.0
153,77.0
154,77.0
155,76.0
156,75.0
157,74.0
158,73.0
159,75.0
160,81.0
161,79.0
162,71.0
163,64.0
164,59.0
165,53.0
166,50.0
167,49.0
168,47.0
169,42.0
170,42.0
171,43.0
172,43.0
173,49.0
174,56.0
175,61.0
176,61.0
177,61.0
178,63.0
179,62.0
180,62.0
181,62.0
182,62.0
183,64.0
184,67.0
185,65.0
186,62.0
187,54.0
188,51.0
189,47.0
190,41.0
191,39.0
192,38.0
193,34.0
194,32.0
195,31.0
196,36.0
197,45.0
198,52.0
199,53.0
200,53.0
201,52.0
202,52.0
203,51.0
204,50.0
205,49.0
206,49.0
207,49.0
208,54.0
209,54.0
210,51.0
211,48.0
212,46.0
213,45.0
214,39.0
215,42.0
216,37.0
217,33.0
218,33.0
219,29.0
220,27.0
221,27.0
222,33.0
223,38.0
224,40.0
225,42.0
226,42.0
227,42.0
228,37.0
229,36.0
230,35.0
231,38.0
232,45.0
233,45.0
234,43.0
235,39.0
236,37.0
237,37.0
238,30.0
239,21.0
240,16.0
241,12.0
242,12.0
243,8.0
244,7.0
245,5.0
246,22.0
247,21.0
248,32.0
249,35.0
250,38.0
251,36.0
252,31.0
253,30.0
254,29.0
255,32.0
256,42.0
257,43.0
258,42.0
259,38.0
260,36.0
261,34.0
262,29.0
263,20.0
264,12.0
265,12.0
266,12.0
267,12.0
268,30.0
269,46.0
270,53.0
271,59.0
272,58.0
273,58.0
274,59.0
275,58.0
276,58.0
277,58.0
278,59.0
279,59.0
280,63.0
281,62.0
282,62.0
283,57.0
284,52.0
285,47.0
286,39.0
287,44.0
288,41.0
289,40.0
290,40.0
291,40.0
292,43.0
293,53.0
294,66.0
295,64.0
296,61.0
297,57.0
298,57.0
299,57.0
300,58.0
301,58.0
302,60.0
303,63.0
304,70.0
305,70.0
306,66.0
307,62.0
308,58.0
309,57.0
310,53.0
311,48.0
312,46.0
313,44.0
314,43.0
315,43.0
316,46.0
317,55.0
318,65.0
319,67.0
320,62.0
321,60.0
322,60.0
323,60.0
324,59.0
325,60.0
326,63.0
327,66.0
328,74.0
329,73.0
330,68.0
331,62.0
332,59.0
333,58.0
334,51.0
335,50.0
336,49.0
337,46.0
338,45.0
339,44.0
340,45.0
341,55.0
342,61.0
343,61.0
344,59.0
345,57.0
346,57.0
347,56.0
348,55.0
349,55.0
350,56.0
351,56.0
352,61.0
353,60.0
354,58.0
355,54.0
356,52.0
357,49.0
358,41.0
359,41.0
360,40.0
361,40.0
362,41.0
363,41.0
364,44.0
365,54.0
366,65.0
367,68.0
368,69.0
369,69.0
370,69.0
371,69.0
372,70.0
373,71.0
374,72.0
375,75.0
376,81.0
377,81.0
378,78.0
379,74.0
380,68.0
381,65.0
382,61.0
383,57.0
384,55.0
385,55.0
386,53.0
387,53.0
388,52.0
389,53.0
390,57.0
391,62.0
392,66.0
393,67.0
394,67.0
395,63.0
396,61.0
397,61.0
398,62.0
399,64.0
400,70.0
401,72.0
402,67.0
403,60.0
