utc_timestamp,AT_price_day_ahead,DK_1_price_day_ahead,DK_2_price_day_ahead
2015-01-01T00:00:00Z,35,0,0
2015-01-01T01:00:00Z,45,16.04,16.04
2015-01-01T02:00:00Z,41,14.6,14.6
2015-01-01T03:00:00Z,38,14.95,14.95
2015-01-01T04:00:00Z,35,14.5,14.5
2015-01-01T05:00:00Z,35,10.76,10.76
2015-01-01T06:00:00Z,36,12.01,12.01
2015-01-01T07:00:00Z,36,12.39,12.39
2015-01-01T08:00:00Z,41,14.04,14.04
2015-01-01T09:00:00Z,45,14.68,14.68
2015-01-01T10:00:00Z,50,16.08,16.08
2015-01-01T11:00:00Z,51,16.08,16.08
2015-01-01T12:00:00Z,48,16.05,25.42
2015-01-01T13:00:00Z,47,16.04,26.78
2015-01-01T14:00:00Z,46,16.1,27.51
2015-01-01T15:00:00Z,51,23.93,28.32
2015-01-01T16:00:00Z,61,26.9,28.36
2015-01-01T17:00:00Z,58,26.36,28.18
2015-01-01T18:00:00Z,54,23.98,27.81
2015-01-01T19:00:00Z,44,16.09,16.09
2015-01-01T20:00:00Z,35,14.08,14.08
2015-01-01T21:00:00Z,33,12.44,12.44
2015-01-01T22:00:00Z,21,0.04,0.04
2015-01-01T23:00:00Z,15,-12.11,-12.11
2015-01-02T00:00:00Z,9,-19.63,-19.63
2015-01-02T01:00:00Z,5,-19.37,-19.37
2015-01-02T02:00:00Z,-5,-31.41,-31.41
2015-01-02T03:00:00Z,-4,-31.41,-31.41
2015-01-02T04:00:00Z,-4,-13.48,-13.48
2015-01-02T05:00:00Z,9,0.08,0.08
2015-01-02T06:00:00Z,26,10.06,28.37
2015-01-02T07:00:00Z,36,14.25,28.37
2015-01-02T08:00:00Z,42,14.56,28.32
2015-01-02T09:00:00Z,41,14.64,28.3
2015-01-02T10:00:00Z,45,15.08,28.39
2015-01-02T11:00:00Z,47,15.41,28.3
2015-01-02T12:00:00Z,46,14.52,28.24
2015-01-02T13:00:00Z,44,14.7,28.12
2015-01-02T14:00:00Z,44,14.66,28.23
2015-01-02T15:00:00Z,53,16.09,28.59
2015-01-02T16:00:00Z,65,25.1,28.73
2015-01-02T17:00:00Z,62,25.06,28.48
2015-01-02T18:00:00Z,52,18.34,28.38
2015-01-02T19:00:00Z,41,14.26,15
2015-01-02T20:00:00Z,30,12.22,12.22
2015-01-02T21:00:00Z,28,8,10.4
2015-01-02T22:00:00Z,21,-0.33,-0.33
2015-01-02T23:00:00Z,6,-0.08,-0.08
2015-01-03T00:00:00Z,0,-0.07,-0.07
2015-01-03T01:00:00Z,-2,-5.03,-5.03
2015-01-03T02:00:00Z,-1,0.01,0.01
2015-01-03T03:00:00Z,2,-0.04,-0.04
2015-01-03T04:00:00Z,4,0.03,0.03
2015-01-03T05:00:00Z,8,-8.67,-8.67
2015-01-03T06:00:00Z,15,4.46,4.46
2015-01-03T07:00:00Z,16,9.9,9.9
2015-01-03T08:00:00Z,19,14.29,14.29
2015-01-03T09:00:00Z,22,16.73,16.73
2015-01-03T10:00:00Z,24,22.31,22.31
2015-01-03T11:00:00Z,24,23.03,23.03
2015-01-03T12:00:00Z,24,22.4,22.4
2015-01-03T13:00:00Z,27,27.07,27.81
2015-01-03T14:00:00Z,29,28.29,28.37
2015-01-03T15:00:00Z,32,28.6,29.23
2015-01-03T16:00:00Z,40,28.88,29.53
2015-01-03T17:00:00Z,41,28.78,29.75
2015-01-03T18:00:00Z,37,28.54,29.46
2015-01-03T19:00:00Z,31,28.34,28.69
2015-01-03T20:00:00Z,27,27.26,27.93
2015-01-03T21:00:00Z,21,27.7,27.7
2015-01-03T22:00:00Z,14,14.27,14.27
2015-01-03T23:00:00Z,14,9.32,9.32
2015-01-04T00:00:00Z,11,0.1,0.1
2015-01-04T01:00:00Z,9,0.1,0.1
2015-01-04T02:00:00Z,5,0.1,0.1
2015-01-04T03:00:00Z,2,0.11,0.11
2015-01-04T04:00:00Z,1,6.8,6.8
2015-01-04T05:00:00Z,-1,14.95,14.95
2015-01-04T06:00:00Z,3,25.49,25.49
2015-01-04T07:00:00Z,7,26.28,27.63
2015-01-04T08:00:00Z,11,27.32,28.03
2015-01-04T09:00:00Z,14,27.56,28.24
2015-01-04T10:00:00Z,18,27.32,28.32
2015-01-04T11:00:00Z,17,27.08,28.24
2015-01-04T12:00:00Z,13,26.33,28.27
2015-01-04T13:00:00Z,13,27.42,28.32
2015-01-04T14:00:00Z,14,28.37,28.7
2015-01-04T15:00:00Z,15,28.65,29.58
2015-01-04T16:00:00Z,23,28.94,29.92
2015-01-04T17:00:00Z,29,29.59,29.91
2015-01-04T18:00:00Z,29,29.42,29.77
2015-01-04T19:00:00Z,22,28.92,29.45
2015-01-04T20:00:00Z,20,28.66,29.06
2015-01-04T21:00:00Z,22,29.03,29.03
2015-01-04T22:00:00Z,14,27.68,27.68
2015-01-04T23:00:00Z,19,28.19,29.06
2015-01-05T00:00:00Z,18,28.15,28.88
2015-01-05T01:00:00Z,17,28.13,28.87
2015-01-05T02:00:00Z,16,28.05,28.05
2015-01-05T03:00:00Z,17,28.04,29.34
2015-01-05T04:00:00Z,21,27.01,30.33
2015-01-05T05:00:00Z,32,27.6,31.39
2015-01-05T06:00:00Z,38,33.62,32.84
2015-01-05T07:00:00Z,42,38.15,38.15
2015-01-05T08:00:00Z,45,41.51,41.51
